term,freq,range,score,doc_ids
land use,24,8,32,"[78, 96, 130, 212, 245, 260, 282, 559]"
urban planning,14,14,28,"[59, 78, 96, 144, 186, 193, 212, 245, 251, 260, 282, 427, 479, 559]"
urban land,21,4,25,"[78, 130, 260, 559]"
deep learning,15,5,20,"[96, 144, 193, 479, 559]"
overall accuracy,9,6,15,"[78, 96, 212, 245, 260, 393]"
neural network,9,6,15,"[78, 186, 245, 328, 427, 559]"
land cover,11,4,15,"[96, 282, 479, 559]"
machine learning,7,7,14,"[96, 144, 251, 260, 368, 393, 427]"
remote sensing,5,5,10,"[78, 96, 144, 479, 559]"
random forest,5,5,10,"[78, 186, 212, 251, 393]"
classification method,7,3,10,"[78, 193, 282]"
urban growth,8,2,10,"[130, 328]"
image classification,6,4,10,"[144, 282, 427, 479]"
cover classification,6,3,9,"[96, 282, 559]"
sar image,7,2,9,"[393, 479]"
contextual feature,7,1,8,[59]
spatial resolution,5,3,8,"[59, 251, 368]"
use category,6,2,8,"[78, 260]"
support vector,4,4,8,"[186, 245, 427, 559]"
vector machine,4,4,8,"[186, 245, 427, 559]"
classification accuracy,5,3,8,"[193, 282, 427]"
population distribution,5,2,7,"[59, 212]"
city scale,3,3,6,"[59, 186, 260]"
big data,4,2,6,"[78, 479]"
land growth,5,1,6,[130]
linear regression,4,2,6,"[186, 212]"
study area,3,3,6,"[212, 245, 251]"
feature selection,4,2,6,"[251, 393]"
urban expansion,5,1,6,[328]
synthetic aperture,3,3,6,"[393, 479, 559]"
