term,freq,range,score,doc_ids
land use,22,8,30,"[90, 119, 208, 293, 316, 317, 524, 589]"
urban land,12,4,16,"[42, 90, 316, 524]"
machine learning,8,8,16,"[42, 90, 119, 190, 208, 302, 317, 524]"
urban development,11,5,16,"[90, 119, 135, 213, 347]"
urban growth,8,6,14,"[119, 208, 213, 225, 293, 572]"
land cover,9,5,14,"[208, 302, 303, 316, 317]"
urban area,8,5,13,"[42, 90, 303, 317, 572]"
urban planning,6,6,12,"[135, 190, 213, 293, 302, 317]"
overall accuracy,6,5,11,"[302, 303, 317, 347, 572]"
stream water,8,1,9,[119]
water quality,8,1,9,[119]
development pattern,7,2,9,"[119, 213]"
case study,4,4,8,"[208, 213, 316, 589]"
use change,5,3,8,"[208, 316, 524]"
urban expansion,5,2,7,"[135, 225]"
population growth,3,3,6,"[135, 208, 213]"
urban forest,5,1,6,[347]
land expansion,4,1,5,[90]
water management,3,2,5,"[190, 344]"
cover change,3,2,5,"[208, 316]"
cover map,3,2,5,"[208, 302]"
slum area,4,1,5,[303]
impervious surface,3,2,5,"[316, 572]"
residential land,2,2,4,"[90, 344]"
big data,2,2,4,"[90, 317]"
use planning,2,2,4,"[119, 208]"
material consumption,3,1,4,[135]
water demand,3,1,4,[190]
neural network,2,2,4,"[190, 303]"
predictive model,3,1,4,[190]
intensity analysis,3,1,4,[208]
major land,2,2,4,"[208, 302]"
urban region,2,2,4,"[208, 316]"
capital city,2,2,4,"[213, 572]"
limited capacity,2,2,4,"[213, 316]"
local authority,2,2,4,"[213, 225]"
image feature,2,2,4,"[213, 302]"
random forest,2,2,4,"[213, 303]"
unplanned settlement,3,1,4,[213]
time series,2,2,4,"[293, 317]"
spatial distribution,2,2,4,"[293, 347]"
spatial resolution,2,2,4,"[293, 572]"
decision tree,2,2,4,"[317, 344]"
urbanization rate,2,2,4,"[317, 572]"
storm water,3,1,4,[344]
western part,2,2,4,"[347, 572]"
development stage,2,1,3,[90]
pattern scenario,2,1,3,[119]
spatial variation,2,1,3,[119]
satellite data,2,1,3,[135]
construction material,2,1,3,[135]
fine scale,2,1,3,[190]
census block,2,1,3,[190]
coarse scale,2,1,3,[190]
eastern part,2,1,3,[213]
population coverage,2,1,3,[293]
temporal length,2,1,3,[293]
data set,2,1,3,[293]
water consumption,2,1,3,[293]
socioeconomic function,2,1,3,[293]
municipal service,2,1,3,[293]
slum settlement,2,1,3,[302]
vhr imagery,2,1,3,[302]
initial land,2,1,3,[302]
effective image,2,1,3,[302]
training site,2,1,3,[302]
cover zone,2,1,3,[303]
land resource,2,1,3,[303]
different land,2,1,3,[303]
surface cover,2,1,3,[316]
change product,2,1,3,[316]
cropland area,2,1,3,[317]
low impact,2,1,3,[344]
impact development,2,1,3,[344]
land owner,2,1,3,[344]
adoption strategy,2,1,3,[344]
athens agglomeration,2,1,3,[572]
landsat imagery,2,1,3,[572]
urban feature,2,1,3,[572]
intermediate city,1,1,2,[42]
