term,freq,range,score,doc_ids
urban planning,14,11,25,"[10, 62, 102, 228, 379, 421, 431, 495, 500, 512, 520]"
machine learning,12,9,21,"[10, 102, 178, 201, 228, 371, 421, 453, 500]"
urban heat,12,5,17,"[10, 102, 228, 431, 454]"
heat island,12,5,17,"[10, 102, 228, 431, 454]"
thermal comfort,14,2,16,"[201, 520]"
urban area,8,6,14,"[228, 371, 453, 454, 500, 520]"
surface temperature,10,3,13,"[371, 431, 454]"
urban form,8,2,10,"[178, 371]"
carbon sequestration,8,1,9,[421]
sequestration potential,8,1,9,[421]
air temperature,6,2,8,"[62, 453]"
food productivity,7,1,8,[421]
urban environment,4,3,7,"[10, 62, 201]"
urban block,5,2,7,"[102, 379]"
land surface,4,3,7,"[371, 431, 454]"
urban geometry,5,2,7,"[379, 454]"
exposure index,5,1,6,[62]
urban center,3,3,6,"[62, 228, 371]"
carbon emission,5,1,6,[102]
energy performance,5,1,6,[379]
agricultural afforestation,5,1,6,[421]
cfd simulation,4,2,6,"[500, 512]"
built environment,3,2,5,"[102, 338]"
environment factor,3,2,5,"[102, 338]"
prediction result,3,2,5,"[102, 520]"
urban design,3,2,5,"[178, 201]"
design strategy,4,1,5,[201]
regression tree,3,2,5,"[228, 454]"
regression model,3,2,5,"[453, 512]"
energy consumption,4,1,5,[495]
energy resource,4,1,5,[495]
neural network,4,1,5,[500]
learning technique,2,2,4,"[10, 228]"
heat mitigation,2,2,4,"[10, 62]"
mobility pattern,2,2,4,"[62, 495]"
climate change,2,2,4,"[62, 421]"
heat exposure,3,1,4,[62]
dynamic nature,2,2,4,"[62, 495]"
human movement,3,1,4,[62]
heat hazard,3,1,4,[62]
different function,3,1,4,[102]
mediterranean climate,3,1,4,[178]
energy demand,2,2,4,"[178, 495]"
urban scale,2,2,4,"[178, 201]"
comfort prediction,2,2,4,"[201, 520]"
green sidewalk,3,1,4,[201]
energy modeling,3,1,4,[201]
green space,2,2,4,"[201, 371]"
boosted regression,2,2,4,"[228, 454]"
spatial distribution,3,1,4,[228]
threshold effect,3,1,4,[338]
result show,2,2,4,"[338, 500]"
spatial structure,2,2,4,"[371, 454]"
socioeconomic characteristic,3,1,4,[431]
prediction model,2,2,4,"[453, 512]"
linear regression,2,2,4,"[453, 512]"
study area,3,1,4,[454]
urban planner,2,2,4,"[454, 512]"
cfd model,2,2,4,"[500, 512]"
natural ventilation,3,1,4,[512]
thermal exposure,2,1,3,[62]
movement pattern,2,1,3,[62]
hazard pattern,2,1,3,[62]
block carbon,2,1,3,[102]
statistical energy,2,1,3,[201]
similar study,2,1,3,[201]
social implication,2,1,3,[201]
surface elevation,2,1,3,[228]
environment element,2,1,3,[338]
land use,2,1,3,[338]
thermal environment,2,1,3,[371]
observation scale,2,1,3,[371]
lst variation,2,1,3,[371]
geometric type,2,1,3,[379]
particle swarm,2,1,3,[421]
swarm optimization,2,1,3,[421]
current food,2,1,3,[421]
island phenomenon,2,1,3,[431]
land parcel,2,1,3,[431]
korean peninsula,2,1,3,[453]
