term,freq,range,score,doc_ids
air quality,21,5,26,"[17, 238, 292, 294, 447]"
pollutant concentration,8,6,14,"[5, 26, 50, 94, 218, 294]"
urban planning,7,7,14,"[14, 17, 26, 50, 218, 238, 292]"
air pollution,8,6,14,"[41, 50, 94, 142, 238, 447]"
regression model,8,4,12,"[26, 105, 238, 292]"
linear regression,6,6,12,"[50, 94, 105, 238, 292, 447]"
health hazard,10,2,12,"[229, 498]"
urban environment,8,3,11,"[5, 41, 447]"
urban form,7,2,9,"[41, 50]"
neural network,4,4,8,"[5, 94, 142, 498]"
concentration prediction,5,2,7,"[14, 218]"
machine learning,4,3,7,"[82, 94, 447]"
prediction model,4,2,6,"[14, 218]"
early warning,3,3,6,"[14, 218, 498]"
mode decomposition,4,2,6,"[14, 218]"
meteorological data,3,3,6,"[50, 142, 447]"
particulate matter,3,3,6,"[82, 229, 238]"
noise pollution,5,1,6,[229]
urban area,4,2,6,"[292, 498]"
secondary decomposition,3,2,5,"[14, 218]"
public health,3,2,5,"[14, 498]"
support vector,3,2,5,"[17, 94]"
vector machine,3,2,5,"[17, 94]"
spatial feature,3,2,5,"[17, 292]"
predictor variable,3,2,5,"[41, 50]"
decision tree,3,2,5,"[50, 105]"
field measurement,3,2,5,"[94, 105]"
different season,3,2,5,"[142, 238]"
sensor data,3,2,5,"[292, 498]"
social medium,4,1,5,[498]
