term,freq,range,score,doc_ids
machine learning,10,10,20,"[155, 240, 304, 319, 334, 346, 499, 519, 555, 587]"
urban planning,9,9,18,"[155, 220, 319, 321, 392, 422, 423, 439, 536]"
traffic flow,14,4,18,"[155, 220, 439, 499]"
transportation mode,15,3,18,"[298, 392, 423]"
traffic congestion,9,6,15,"[304, 334, 439, 519, 530, 536]"
deep learning,7,6,13,"[155, 319, 359, 392, 439, 536]"
traffic volume,9,3,12,"[155, 422, 499]"
big data,8,3,11,"[155, 220, 439]"
urban environment,7,4,11,"[334, 346, 407, 526]"
intelligent transportation,7,3,10,"[155, 220, 319]"
transportation system,7,3,10,"[155, 220, 587]"
result show,5,5,10,"[155, 220, 240, 304, 423]"
traffic management,5,5,10,"[304, 359, 392, 519, 587]"
smart city,6,3,9,"[155, 240, 321]"
road traffic,6,3,9,"[334, 439, 519]"
human mobility,8,1,9,[536]
learning method,4,4,8,"[155, 304, 392, 587]"
neural network,4,4,8,"[155, 321, 392, 439]"
urban traffic,4,4,8,"[220, 359, 439, 519]"
mobility data,6,2,8,"[240, 536]"
mode recognition,7,1,8,[392]
urban area,4,3,7,"[240, 298, 519]"
urban data,4,3,7,"[298, 359, 407]"
trajectory data,4,3,7,"[319, 321, 423]"
road network,3,3,6,"[220, 304, 334]"
learning technique,3,3,6,"[240, 499, 519]"
data source,3,3,6,"[240, 298, 319]"
traffic prediction,3,3,6,"[304, 334, 526]"
data collection,3,3,6,"[321, 407, 536]"
feature vector,3,3,6,"[334, 392, 423]"
real time,3,3,6,"[346, 439, 519]"
citywide traffic,4,2,6,"[359, 499]"
decision tree,4,2,6,"[423, 555]"
travel time,3,3,6,"[439, 526, 530]"
travel speed,4,2,6,"[499, 530]"
great significance,3,2,5,"[155, 359]"
transportation infrastructure,3,2,5,"[155, 587]"
flow prediction,4,1,5,[220]
classification algorithms,3,2,5,"[321, 555]"
gps trajectory,3,2,5,"[423, 499]"
control system,3,2,5,"[519, 587]"
urban mobility,2,2,4,"[38, 240]"
traffic data,2,2,4,"[155, 526]"
experimental result,2,2,4,"[155, 304]"
prediction model,2,2,4,"[155, 346]"
transportation operation,2,2,4,"[220, 499]"
urban road,2,2,4,"[220, 321]"
result demonstrate,2,2,4,"[220, 499]"
energy consumption,2,2,4,"[240, 587]"
air pollution,2,2,4,"[240, 536]"
pollution problem,2,2,4,"[240, 536]"
taxi fleet,2,2,4,"[240, 298]"
taxi service,3,1,4,[298]
public policy,2,2,4,"[319, 334]"
traffic forecasting,2,2,4,"[319, 536]"
next destination,3,1,4,[321]
delivery fleet,3,1,4,[321]
classic machine,2,2,4,"[359, 392]"
temporal dependency,2,2,4,"[359, 392]"
journey planning,2,2,4,"[392, 519]"
deep reinforcement,3,1,4,[407]
vehicle selection,3,1,4,[407]
trajectory dataset,2,2,4,"[407, 499]"
highway traffic,3,1,4,[422]
sub trajectory,3,1,4,[423]
time traffic,2,2,4,"[439, 519]"
parking availability,2,2,4,"[519, 526]"
high performance,2,2,4,"[519, 587]"
assist system,3,1,4,[526]
smart navigation,3,1,4,[526]
mobility model,3,1,4,[536]
gcnn model,2,1,3,[155]
actual traffic,2,1,3,[155]
feature optimization,2,1,3,[220]
training data,2,1,3,[220]
large city,2,1,3,[240]
spatiotemporal variation,2,1,3,[298]
historical data,2,1,3,[319]
eta improvement,2,1,3,[321]
vehicular movement,2,1,3,[334]
