term,freq,range,score,doc_ids
big data,14,7,21,"[125, 139, 194, 202, 353, 375, 415]"
urban planning,9,8,17,"[125, 139, 202, 415, 438, 485, 491, 511]"
social medium,11,5,16,"[139, 202, 415, 438, 485]"
machine learning,8,4,12,"[125, 202, 491, 511]"
positive deviance,10,1,11,[415]
support system,8,1,9,[125]
functional region,6,2,8,"[375, 491]"
learning technique,3,2,5,"[125, 139]"
case study,3,2,5,"[139, 485]"
smart city,4,1,5,[194]
data analysis,3,2,5,"[194, 485]"
civic query,4,1,5,[194]
analysis method,4,1,5,[202]
literature review,3,2,5,"[415, 485]"
medium data,4,1,5,[485]
urban planner,2,2,4,"[124, 139]"
data analytics,2,2,4,"[125, 139]"
urban dynamic,2,2,4,"[139, 202]"
data mining,2,2,4,"[139, 324]"
high accuracy,2,2,4,"[139, 355]"
urban system,2,2,4,"[202, 438]"
urban data,2,2,4,"[202, 324]"
city worldwide,3,1,4,[244]
image dimension,3,1,4,[244]
dirichlet allocation,2,2,4,"[244, 324]"
topic modeling,2,2,4,"[324, 511]"
previous work,2,2,4,"[375, 491]"
probabilistic topic,2,2,4,"[375, 511]"
sentiment analysis,3,1,4,[438]
analysis result,2,2,4,"[438, 485]"
urban issue,2,1,3,[55]
report category,2,1,3,[55]
human presence,2,1,3,[124]
commercial establishment,2,1,3,[124]
artificial intelligence,2,1,3,[125]
planning support,2,1,3,[125]
system environment,2,1,3,[125]
participatory analytics,2,1,3,[125]
urban problem,2,1,3,[194]
novel approach,2,1,3,[194]
urban livability,2,1,3,[202]
new data,2,1,3,[202]
data source,2,1,3,[202]
new method,2,1,3,[244]
city image,2,1,3,[244]
thematic structure,2,1,3,[324]
adaptive reuse,2,1,3,[324]
knowledge discovery,2,1,3,[324]
discovery process,2,1,3,[324]
socioeconomic attribute,2,1,3,[353]
restaurant data,2,1,3,[353]
socioeconomic data,2,1,3,[353]
spatial resolution,2,1,3,[353]
urbanization issue,2,1,3,[355]
systematic literature,2,1,3,[415]
positive deviant,2,1,3,[415]
social network,2,1,3,[438]
topical aspect,2,1,3,[438]
linguistic feature,2,1,3,[438]
matrix factorization,2,1,3,[491]
ground sensing,2,1,3,[511]
public service,1,1,2,[55]
several country,1,1,2,[55]
local government,1,1,2,[55]
government use,1,1,2,[55]
use data,1,1,2,[55]
reported issue,1,1,2,[55]
citizen report,1,1,2,[55]
broken streetlamps,1,1,2,[55]
temporal feature,1,1,2,[55]
feature reveal,1,1,2,[55]
common pattern,1,1,2,[55]
zurich area,1,1,2,[55]
promising performance,1,1,2,[55]
ultimate goal,1,1,2,[55]
platform operation,1,1,2,[55]
human activity,1,1,2,[124]
spatial granularity,1,1,2,[124]
current information,1,1,2,[124]
information technology,1,1,2,[124]
