term,freq,range,score,doc_ids
urban planning,12,11,23,"[10, 15, 166, 214, 223, 285, 297, 308, 379, 424, 495]"
energy consumption,14,7,21,"[70, 101, 207, 297, 308, 441, 495]"
electric consumption,15,2,17,"[101, 517]"
machine learning,9,7,16,"[10, 178, 199, 214, 285, 308, 406]"
energy use,12,4,16,"[101, 224, 441, 517]"
urban area,9,6,15,"[40, 101, 214, 406, 441, 442]"
big data,10,5,15,"[64, 224, 285, 297, 406]"
building energy,10,4,14,"[40, 207, 308, 441]"
energy performance,10,4,14,"[40, 207, 379, 441]"
case study,6,6,12,"[70, 214, 223, 406, 424, 441]"
consumption data,8,3,11,"[64, 101, 517]"
smart city,8,3,11,"[70, 297, 308]"
urban scale,6,5,11,"[178, 223, 224, 441, 517]"
energy demand,6,4,10,"[40, 178, 308, 495]"
learning algorithms,5,5,10,"[199, 207, 214, 285, 297]"
urban data,7,3,10,"[224, 297, 406]"
data source,4,4,8,"[28, 40, 214, 495]"
energy efficiency,4,4,8,"[70, 207, 379, 517]"
ensemble model,6,2,8,"[70, 101]"
climate change,5,3,8,"[166, 223, 406]"
data science,5,2,7,"[10, 406]"
carbon emission,6,1,7,[214]
urban climate,5,2,7,"[223, 406]"
data analysis,4,3,7,"[285, 297, 495]"
decision making,3,3,6,"[10, 28, 207]"
systematic literature,4,2,6,"[15, 199]"
literature review,4,2,6,"[15, 199]"
residential building,4,2,6,"[101, 517]"
consumption forecasting,5,1,6,[101]
deep learning,3,3,6,"[101, 207, 297]"
load forecasting,4,2,6,"[101, 442]"
urban sustainability,3,3,6,"[308, 406, 441]"
shm system,5,1,6,[424]
systematic review,3,2,5,"[28, 308]"
urban forestry,4,1,5,[28]
sustainable energy,3,2,5,"[207, 495]"
urban building,3,2,5,"[207, 441]"
building stock,3,2,5,"[207, 517]"
multiple scale,3,2,5,"[207, 224]"
geographic information,3,2,5,"[214, 495]"
data collection,3,2,5,"[214, 406]"
occupant behaviour,4,1,5,[224]
load prediction,4,1,5,[442]
energy resource,4,1,5,[495]
natural gas,4,1,5,[517]
learning technique,2,2,4,"[10, 214]"
data integration,2,2,4,"[15, 207]"
different source,2,2,4,"[15, 224]"
urban energy,2,2,4,"[40, 441]"
energy planning,2,2,4,"[40, 207]"
previous research,2,2,4,"[40, 166]"
data analytics,2,2,4,"[64, 297]"
electricity consumption,2,2,4,"[64, 517]"
ensemble forecasting,3,1,4,[101]
forecasting model,3,1,4,[101]
floor level,3,1,4,[101]
spatial scale,2,2,4,"[101, 441]"
prediction accuracy,2,2,4,"[101, 207]"
mediterranean climate,3,1,4,[178]
energy simulation,2,2,4,"[178, 441]"
nexus governance,3,1,4,[199]
urban planner,2,2,4,"[207, 214]"
building level,2,2,4,"[207, 517]"
information system,2,2,4,"[214, 495]"
physical asset,3,1,4,[214]
new insight,2,2,4,"[214, 406]"
policy maker,2,2,4,"[214, 223]"
global scale,2,2,4,"[223, 406]"
energy model,2,2,4,"[224, 441]"
natural disaster,2,2,4,"[285, 424]"
analysis process,2,2,4,"[297, 495]"
energy system,2,2,4,"[308, 495]"
urban geometry,3,1,4,[379]
climate solution,3,1,4,[406]
engineering simulation,3,1,4,[441]
electrical load,3,1,4,[442]
gas use,3,1,4,[517]
urban heat,2,1,3,[10]
heat island,2,1,3,[10]
engineering model,2,1,3,[40]
electricity theft,2,1,3,[64]
sgcc dataset,2,1,3,[64]
energy data,2,1,3,[70]
ensemble network,2,1,3,[70]
consumption profile,2,1,3,[101]
cluster analysis,2,1,3,[101]
climate resilience,2,1,3,[166]
regional science,2,1,3,[173]
urban form,2,1,3,[178]
conceptual basis,2,1,3,[199]
discourse analysis,2,1,3,[199]
spatial modeling,2,1,3,[207]
digital twin,2,1,3,[214]
sustainable evaluation,2,1,3,[214]
geospatial technology,2,1,3,[214]
structural schematic,2,1,3,[214]
dt system,2,1,3,[214]
analytics phase,2,1,3,[214]
climate mitigation,2,1,3,[223]
experimental study,2,1,3,[297]
data management,2,1,3,[297]
city application,2,1,3,[297]
geometric type,2,1,3,[379]
urban block,2,1,3,[379]
global climate,2,1,3,[406]
greenhouse gas,2,1,3,[406]
gas emission,2,1,3,[406]
structural health,2,1,3,[424]
health monitoring,2,1,3,[424]
utility model,2,1,3,[424]
system data,2,1,3,[424]
single building,2,1,3,[441]
scale energy,2,1,3,[441]
power generation,2,1,3,[442]
short term,2,1,3,[442]
regression tool,2,1,3,[442]
anthropogenic activity,2,1,3,[495]
research work,2,1,3,[495]
predictive model,2,1,3,[517]
energy disclosure,2,1,3,[517]
benchmarking data,2,1,3,[517]
small subset,2,1,3,[517]
mean absolute,2,1,3,[517]
use intensity,2,1,3,[517]
square foot,2,1,3,[517]
past decade,1,1,2,[10]
research effort,1,1,2,[10]
convenient concept,1,1,2,[10]
significant advance,1,1,2,[10]
scientific research,1,1,2,[10]
policy making,1,1,2,[10]
environmental community,1,1,2,[10]
uhi concept,1,1,2,[10]
urbanized world,1,1,2,[10]
practical perspective,1,1,2,[10]
recent research,1,1,2,[10]
research advance,1,1,2,[10]
novel paradigm,1,1,2,[10]
urban environment,1,1,2,[10]
complex dynamic,1,1,2,[10]
dynamic system,1,1,2,[10]
new framework,1,1,2,[10]
environmental study,1,1,2,[10]
advanced technique,1,1,2,[10]
complex system,1,1,2,[10]
complex network,1,1,2,[10]
network theory,1,1,2,[10]
causal inference,1,1,2,[10]
exclusive aim,1,1,2,[10]
heat mitigation,1,1,2,[10]
automatic identification,1,1,2,[15]
central role,1,1,2,[15]
various level,1,1,2,[15]
census operation,1,1,2,[15]
several challenge,1,1,2,[15]
incomplete address,1,1,2,[15]
address record,1,1,2,[15]
complex language,1,1,2,[15]
current limitation,1,1,2,[15]
automated approach,1,1,2,[15]
final set,1,1,2,[15]
great majority,1,1,2,[15]
chinese author,1,1,2,[15]
main finding,1,1,2,[15]
consistent move,1,1,2,[15]
traditional approach,1,1,2,[15]
attention mechanism,1,1,2,[15]
recent adoption,1,1,2,[15]
hybrid approach,1,1,2,[15]
spatial constraint,1,1,2,[15]
method stand,1,1,2,[15]
future study,1,1,2,[15]
artificial intelligence,1,1,2,[28]
environmental quality,1,1,2,[28]
urban forest,1,1,2,[28]
natural capital,1,1,2,[28]
biological complexity,1,1,2,[28]
economic aspect,1,1,2,[28]
digital revolution,1,1,2,[28]
new research,1,1,2,[28]
research avenue,1,1,2,[28]
remote assessment,1,1,2,[28]
canopy cover,1,1,2,[28]
specie distribution,1,1,2,[28]
management practice,1,1,2,[28]
socioeconomic aspect,1,1,2,[28]
temporal trend,1,1,2,[28]
future scenario,1,1,2,[28]
predictive potential,1,1,2,[28]
ai method,1,1,2,[28]
clear advantage,1,1,2,[28]
chosen method,1,1,2,[28]
continuous variable,1,1,2,[28]
various combination,1,1,2,[28]
data type,1,1,2,[28]
full growth,1,1,2,[28]
aggregated building,1,1,2,[40]
useful indicator,1,1,2,[40]
high energy,1,1,2,[40]
district heating,1,1,2,[40]
heating network,1,1,2,[40]
various data,1,1,2,[40]
land use,1,1,2,[40]
built area,1,1,2,[40]
statistical data,1,1,2,[40]
hectare level,1,1,2,[40]
engineering assumption,1,1,2,[40]
annual building,1,1,2,[40]
previous engineering,1,1,2,[40]
preliminary method,1,1,2,[40]
spatial resolution,1,1,2,[40]
annual heating,1,1,2,[40]
heating demand,1,1,2,[40]
aggregation tile,1,1,2,[40]
mean error,1,1,2,[40]
linear model,1,1,2,[40]
similar result,1,1,2,[40]
smart community,1,1,2,[64]
major revenue,1,1,2,[64]
revenue loss,1,1,2,[64]
power utility,1,1,2,[64]
production cost,1,1,2,[64]
legal consumer,1,1,2,[64]
et detection,1,1,2,[64]
detection model,1,1,2,[64]
data balancing,1,1,2,[64]
feature extraction,1,1,2,[64]
interpolation method,1,1,2,[64]
et consumer,1,1,2,[64]
model inefficient,1,1,2,[64]
hybrid resampling,1,1,2,[64]
resampling technique,1,1,2,[64]
synthetic minority,1,1,2,[64]
near miss,1,1,2,[64]
residual network,1,1,2,[64]
decision tree,1,1,2,[64]
adaptive boosting,1,1,2,[64]
encoded feature,1,1,2,[64]
feature vector,1,1,2,[64]
good hyperparameters,1,1,2,[64]
challenging task,1,1,2,[64]
considerable amount,1,1,2,[64]
bayesian optimizer,1,1,2,[64]
consumption prediction,1,1,2,[70]
urban study,1,1,2,[70]
diverse information,1,1,2,[70]
urban system,1,1,2,[70]
energy management,1,1,2,[70]
prediction problem,1,1,2,[70]
baseline regressors,1,1,2,[70]
base regressors,1,1,2,[70]
performance prediction,1,1,2,[70]
result support,1,1,2,[70]
weighted meta,1,1,2,[70]
meta model,1,1,2,[70]
several machine,1,1,2,[70]
ensemble energy,1,1,2,[101]
smart metering,1,1,2,[101]
metering infrastructure,1,1,2,[101]
temporal scale,1,1,2,[101]
building owner,1,1,2,[101]
accurate forecasting,1,1,2,[101]
consumer involvement,1,1,2,[101]
critical peak,1,1,2,[101]
peak pricing,1,1,2,[101]
demand response,1,1,2,[101]
response initiative,1,1,2,[101]
sustainability implication,1,1,2,[101]
energy wastage,1,1,2,[101]
energy sector,1,1,2,[101]
accurate consumption,1,1,2,[101]
power system,1,1,2,[101]
system planning,1,1,2,[101]
grid operation,1,1,2,[101]
active research,1,1,2,[101]
research area,1,1,2,[101]
devised model,1,1,2,[101]
high occupant,1,1,2,[101]
occupant energy,1,1,2,[101]
behavior variability,1,1,2,[101]
appropriate model,1,1,2,[101]
apartment level,1,1,2,[101]
scale apartment,1,1,2,[101]
weekly forecasting,1,1,2,[101]
forecasting horizon,1,1,2,[101]
smart meter,1,1,2,[101]
hourly basis,1,1,2,[101]
data belongs,1,1,2,[101]
learning variant,1,1,2,[101]
ensemble scheme,1,1,2,[101]
scheme verify,1,1,2,[101]
sequential behavior,1,1,2,[101]
superior performance,1,1,2,[101]
level prediction,1,1,2,[101]
experimental finding,1,1,2,[101]
finding suggest,1,1,2,[101]
consumption characteristic,1,1,2,[101]
model diversity,1,1,2,[101]
forecasting error,1,1,2,[101]
forecasting scheme,1,1,2,[101]
predictive modeling,1,1,2,[101]
urban resilience,1,1,2,[166]
understanding research,1,1,2,[166]
research priority,1,1,2,[166]
long run,1,1,2,[166]
climate pressure,1,1,2,[166]
infrastructure driver,1,1,2,[166]
key finding,1,1,2,[166]
academic literature,1,1,2,[166]
strong focus,1,1,2,[166]
single sector,1,1,2,[166]
sector strategy,1,1,2,[166]
practice document,1,1,2,[166]
document continue,1,1,2,[166]
spatial plan,1,1,2,[166]
integrated thinking,1,1,2,[166]
research agenda,1,1,2,[166]
full range,1,1,2,[166]
support selection,1,1,2,[166]
appropriate planning,1,1,2,[166]
planning response,1,1,2,[166]
multiple infrastructure,1,1,2,[166]
infrastructure system,1,1,2,[166]
temporal aspect,1,1,2,[166]
frontier topic,1,1,2,[173]
second volume,1,1,2,[173]
special issue,1,1,2,[173]
different contribution,1,1,2,[173]
knowledge spillover,1,1,2,[173]
spatial context,1,1,2,[173]
regional policy,1,1,2,[173]
policy evaluation,1,1,2,[173]
evaluation study,1,1,2,[173]
smart specialization,1,1,2,[173]
inner area,1,1,2,[173]
area strategy,1,1,2,[173]
evolutionary approach,1,1,2,[173]
regional planning,1,1,2,[173]
land rent,1,1,2,[173]
rent measurement,1,1,2,[173]
common denominator,1,1,2,[173]
different essay,1,1,2,[173]
geographical space,1,1,2,[173]
thermal load,1,1,2,[178]
urban dwelling,1,1,2,[178]
novel method,1,1,2,[178]
urban design,1,1,2,[178]
design process,1,1,2,[178]
accurate feedback,1,1,2,[178]
urban configuration,1,1,2,[178]
dynamic energy,1,1,2,[178]
single thermal,1,1,2,[178]
thermal zone,1,1,2,[178]
geometrical parameter,1,1,2,[178]
energy balance,1,1,2,[178]
morphological indicator,1,1,2,[178]
streamlined workflow,1,1,2,[178]
forest algorithm,1,1,2,[178]
urban site,1,1,2,[178]
last decade,1,1,2,[199]
economic agenda,1,1,2,[199]
clear meaning,1,1,2,[199]
governance debate,1,1,2,[199]
main theme,1,1,2,[199]
qualitative method,1,1,2,[199]
social network,1,1,2,[199]
network analysis,1,1,2,[199]
concept support,1,1,2,[199]
basin governance,1,1,2,[199]
system governance,1,1,2,[199]
resource security,1,1,2,[199]
security governance,1,1,2,[199]
economic governance,1,1,2,[199]
global governance,1,1,2,[199]
urban governance,1,1,2,[199]
cooperative governance,1,1,2,[199]
transdisciplinary governance,1,1,2,[199]
support decision,1,1,2,[207]
local authority,1,1,2,[207]
energy policymakers,1,1,2,[207]
energy plan,1,1,2,[207]
overall energy,1,1,2,[207]
building data,1,1,2,[207]
several issue,1,1,2,[207]
data availability,1,1,2,[207]
data inconsistency,1,1,2,[207]
data scalability,1,1,2,[207]
data privacy,1,1,2,[207]
aforementioned information,1,1,2,[207]
information challenge,1,1,2,[207]
integrated methodology,1,1,2,[207]
modeling approach,1,1,2,[207]
system mapping,1,1,2,[207]
energy modeling,1,1,2,[207]
irish building,1,1,2,[207]
prediction result,1,1,2,[207]
individual building,1,1,2,[207]
national level,1,1,2,[207]
spatial resource,1,1,2,[207]
environmental data,1,1,2,[207]
modeling result,1,1,2,[207]
significant potential,1,1,2,[207]
specific region,1,1,2,[207]
modeling aid,1,1,2,[207]
aid stakeholder,1,1,2,[207]
priority area,1,1,2,[207]
efficiency measure,1,1,2,[207]
local community,1,1,2,[207]
retrofit campaign,1,1,2,[207]
energy policy,1,1,2,[207]
policy decision,1,1,2,[207]
twin system,1,1,2,[214]
jeonju city,1,1,2,[214]
scientific literature,1,1,2,[214]
early stage,1,1,2,[214]
dts vary,1,1,2,[214]
common perspective,1,1,2,[214]
primary goal,1,1,2,[214]
physical system,1,1,2,[214]
major phase,1,1,2,[214]
optimal strategy,1,1,2,[214]
spatial statistic,1,1,2,[214]
ideal counterpart,1,1,2,[214]
geographic data,1,1,2,[214]
spatial relationship,1,1,2,[214]
first step,1,1,2,[214]
gis map,1,1,2,[214]
vulnerable area,1,1,2,[214]
radial basis,1,1,2,[214]
basis function,1,1,2,[214]
kernel algorithm,1,1,2,[214]
spatial trend,1,1,2,[214]
neural network,1,1,2,[214]
city gas,1,1,2,[214]
household waste,1,1,2,[214]
hot spot,1,1,2,[214]
spot analysis,1,1,2,[214]
high value,1,1,2,[214]
study area,1,1,2,[214]
urban management,1,1,2,[214]
management system,1,1,2,[214]
innovative approach,1,1,2,[214]
approach become,1,1,2,[214]
change mitigation,1,1,2,[223]
rich data,1,1,2,[223]
scale remain,1,1,2,[223]
comparative insight,1,1,2,[223]
focus issue,1,1,2,[223]
core area,1,1,2,[223]
mitigation solution,1,1,2,[223]
collective understanding,1,1,2,[223]
climate assessment,1,1,2,[223]
behavioral change,1,1,2,[223]
social practice,1,1,2,[223]
practice relevant,1,1,2,[223]
urban space,1,1,2,[223]
space deserve,1,1,2,[223]
academic attention,1,1,2,[223]
diverse set,1,1,2,[223]
social science,1,1,2,[223]
single objective,1,1,2,[223]
coordinate mitigation,1,1,2,[223]
sustainable development,1,1,2,[223]
development goal,1,1,2,[223]
explicit conceptualization,1,1,2,[223]
governance framework,1,1,2,[223]
scientific exercise,1,1,2,[223]
action plan,1,1,2,[223]
urban sensing,1,1,2,[224]
unprecedented opportunity,1,1,2,[224]
energy usage,1,1,2,[224]
usage pattern,1,1,2,[224]
intrinsic occupant,1,1,2,[224]
behavioural profile,1,1,2,[224]
traditional model,1,1,2,[224]
related review,1,1,2,[224]
survey paper,1,1,2,[224]
critical summary,1,1,2,[224]
modelling technique,1,1,2,[224]
urban behaviour,1,1,2,[224]
energy modelling,1,1,2,[224]
future direction,1,1,2,[224]
data application,1,1,2,[285]
remote sensing,1,1,2,[285]
massive volume,1,1,2,[285]
common software,1,1,2,[285]
software package,1,1,2,[285]
big geo,1,1,2,[285]
geo data,1,1,2,[285]
large area,1,1,2,[285]
long period,1,1,2,[285]
high potential,1,1,2,[285]
different application,1,1,2,[285]
rs application,1,1,2,[285]
recent year,1,1,2,[285]
different aspect,1,1,2,[285]
gee platform,1,1,2,[285]
various application,1,1,2,[285]
journal article,1,1,2,[285]
sentinel datasets,1,1,2,[285]
gee user,1,1,2,[285]
image classification,1,1,2,[285]
classification task,1,1,2,[285]
broad range,1,1,2,[285]
use classification,1,1,2,[285]
climate analysis,1,1,2,[285]
image processing,1,1,2,[285]
gee publication,1,1,2,[285]
different field,1,1,2,[285]
data processing,1,1,2,[285]
processing challenge,1,1,2,[285]
theoretical design,1,1,2,[297]
previous researcher,1,1,2,[297]
researcher demonstrate,1,1,2,[297]
different kind,1,1,2,[297]
traffic congestion,1,1,2,[297]
smart home,1,1,2,[297]
vehicular sensor,1,1,2,[297]
resource data,1,1,2,[297]
first phase,1,1,2,[297]
iot device,1,1,2,[297]
second phase,1,1,2,[297]
data handling,1,1,2,[297]
handling operation,1,1,2,[297]
mapreduce framework,1,1,2,[297]
third phase,1,1,2,[297]
phase deal,1,1,2,[297]
important step,1,1,2,[297]
offline service,1,1,2,[297]
online service,1,1,2,[297]
processing time,1,1,2,[297]
energy information,1,1,2,[308]
essential role,1,1,2,[308]
particular importance,1,1,2,[308]
comprehensive taxonomy,1,1,2,[308]
promising model,1,1,2,[308]
performance pattern,1,1,2,[379]
geometric parameter,1,1,2,[379]
geometric characteristic,1,1,2,[379]
target area,1,1,2,[379]
conventional approach,1,1,2,[379]
building geometry,1,1,2,[379]
energy impact,1,1,2,[379]
geometric form,1,1,2,[379]
energy pattern,1,1,2,[379]
significant indicator,1,1,2,[379]
real city,1,1,2,[379]
geometric indicator,1,1,2,[379]
regression analysis,1,1,2,[379]
hierarchical clustering,1,1,2,[379]
clustering algorithm,1,1,2,[379]
block planning,1,1,2,[379]
valuable insight,1,1,2,[406]
data infrastructure,1,1,2,[406]
earth observation,1,1,2,[406]
social medium,1,1,2,[406]
medium data,1,1,2,[406]
change science,1,1,2,[406]
mainstreaming data,1,1,2,[406]
computational method,1,1,2,[406]
qualitative data,1,1,2,[406]
effect change,1,1,2,[406]
integral role,1,1,2,[406]
common understanding,1,1,2,[406]
representative data,1,1,2,[406]
related greenhouse,1,1,2,[406]
climate threat,1,1,2,[406]
current state,1,1,2,[406]
urban metabolism,1,1,2,[406]
metabolism study,1,1,2,[406]
data approach,1,1,2,[406]
urban economics,1,1,2,[406]
weather study,1,1,2,[406]
city worldwide,1,1,2,[406]
computational technique,1,1,2,[406]
science method,1,1,2,[406]
qualitative information,1,1,2,[406]
climate effect,1,1,2,[406]
collaborative effort,1,1,2,[406]
effort towards,1,1,2,[406]
joint data,1,1,2,[406]
data platform,1,1,2,[406]
urban service,1,1,2,[406]
quantitative foundation,1,1,2,[406]
sustainability science,1,1,2,[406]
monitoring installation,1,1,2,[424]
installation scheme,1,1,2,[424]
intensified disaster,1,1,2,[424]
natural phenomenon,1,1,2,[424]
efficient environment,1,1,2,[424]
structural information,1,1,2,[424]
novel utility,1,1,2,[424]
early detection,1,1,2,[424]
risk factor,1,1,2,[424]
input data,1,1,2,[424]
identifier address,1,1,2,[424]
biometric attendance,1,1,2,[424]
attendance system,1,1,2,[424]
sensor reading,1,1,2,[424]
visual representation,1,1,2,[424]
utility manager,1,1,2,[424]
high disturbance,1,1,2,[424]
denser area,1,1,2,[424]
rural area,1,1,2,[424]
simple machine,1,1,2,[424]
give expert,1,1,2,[424]
specific authority,1,1,2,[424]
monitoring utility,1,1,2,[424]
resource management,1,1,2,[424]
occupant measuring,1,1,2,[424]
simulated occupation,1,1,2,[424]
occupation model,1,1,2,[424]
mathematical model,1,1,2,[424]
zone calculation,1,1,2,[424]
analysis data,1,1,2,[424]
visual data,1,1,2,[424]
computing model,1,1,2,[424]
effective system,1,1,2,[424]
prepare authority,1,1,2,[424]
crisis management,1,1,2,[424]
external surroundings,1,1,2,[424]
environmental emission,1,1,2,[441]
significant effort,1,1,2,[441]
model aim,1,1,2,[441]
statistical learning,1,1,2,[441]
learning method,1,1,2,[441]
energy dynamic,1,1,2,[441]
urban microclimate,1,1,2,[441]
microclimate factor,1,1,2,[441]
substantial impact,1,1,2,[441]
concept case,1,1,2,[441]
university building,1,1,2,[441]
monthly interval,1,1,2,[441]
simulation approach,1,1,2,[441]
urban context,1,1,2,[441]
merit future,1,1,2,[441]
future work,1,1,2,[441]
energy prediction,1,1,2,[441]
wide variety,1,1,2,[441]
sustainability stakeholder,1,1,2,[441]
generation capacity,1,1,2,[442]
capacity planning,1,1,2,[442]
friendly energy,1,1,2,[442]
energy source,1,1,2,[442]
district level,1,1,2,[442]
demand side,1,1,2,[442]
side management,1,1,2,[442]
renewable power,1,1,2,[442]
area load,1,1,2,[442]
meteorological condition,1,1,2,[442]
complex predictor,1,1,2,[442]
big amount,1,1,2,[442]
training data,1,1,2,[442]
binary dummy,1,1,2,[442]
dummy variable,1,1,2,[442]
long term,1,1,2,[442]
electric load,1,1,2,[442]
categorical level,1,1,2,[442]
load datasets,1,1,2,[442]
meteorological parameter,1,1,2,[442]
sydney region,1,1,2,[442]
data correlation,1,1,2,[442]
seasonal change,1,1,2,[442]
various regressors,1,1,2,[442]
territorial dynamic,1,1,2,[495]
anthropogenic energy,1,1,2,[495]
dynamic nature,1,1,2,[495]
geospatial localization,1,1,2,[495]
dynamic necessitate,1,1,2,[495]
considerable modification,1,1,2,[495]
energy infrastructure,1,1,2,[495]
consumption model,1,1,2,[495]
strategic deployment,1,1,2,[495]
renewable energy,1,1,2,[495]
system model,1,1,2,[495]
interrelated work,1,1,2,[495]
work package,1,1,2,[495]
modelling problem,1,1,2,[495]
hierarchical process,1,1,2,[495]
computational infrastructure,1,1,2,[495]
geospatial energy,1,1,2,[495]
environmental policy,1,1,2,[495]
comprehensive planning,1,1,2,[495]
energy supply,1,1,2,[495]
demand estimation,1,1,2,[495]
storage facility,1,1,2,[495]
sustainable planning,1,1,2,[495]
mobility pattern,1,1,2,[495]
operational planning,1,1,2,[495]
power market,1,1,2,[495]
market design,1,1,2,[495]
many city,1,1,2,[517]
efficiency market,1,1,2,[517]
carbon reduction,1,1,2,[517]
reduction plan,1,1,2,[517]
large building,1,1,2,[517]
city scale,1,1,2,[517]
disclosure policy,1,1,2,[517]
statistical model,1,1,2,[517]
linear regression,1,1,2,[517]
random forest,1,1,2,[517]
support vector,1,1,2,[517]
vector regression,1,1,2,[517]
energy benchmarking,1,1,2,[517]
model accuracy,1,1,2,[517]
zip code,1,1,2,[517]
code level,1,1,2,[517]
actual consumption,1,1,2,[517]
calendar year,1,1,2,[517]
ols model,1,1,2,[517]
model performs,1,1,2,[517]
svm result,1,1,2,[517]
absolute error,1,1,2,[517]
electric energy,1,1,2,[517]
office building,1,1,2,[517]
absolute log,1,1,2,[517]
log accuracy,1,1,2,[517]
accuracy ratio,1,1,2,[517]
building age,1,1,2,[517]
significant predictor,1,1,2,[517]
consumption level,1,1,2,[517]
retail building,1,1,2,[517]
building use,1,1,2,[517]
taller building,1,1,2,[517]
floor area,1,1,2,[517]
attached building,1,1,2,[517]
adjacent building,1,1,2,[517]
party wall,1,1,2,[517]
result demonstrate,1,1,2,[517]
actual data,1,1,2,[517]
complicated problem,1,1,2,[517]
bimodal distribution,1,1,2,[517]
infrastructure availability,1,1,2,[517]
