term,freq,range,score,doc_ids
urban planning,18,14,32,"[18, 75, 80, 84, 88, 156, 180, 211, 288, 332, 474, 509, 511, 520]"
machine learning,11,9,20,"[121, 156, 180, 277, 288, 332, 388, 511, 564]"
urban environment,11,4,15,"[121, 277, 399, 564]"
smart city,9,3,12,"[61, 80, 211]"
urban data,7,5,12,"[97, 163, 235, 498, 503]"
case study,6,5,11,"[18, 163, 211, 288, 474]"
deep learning,6,4,10,"[61, 80, 156, 157]"
learning technique,6,4,10,"[121, 163, 211, 564]"
land use,9,1,10,[288]
health hazard,9,1,10,[498]
big data,7,2,9,"[18, 180]"
urban area,5,4,9,"[156, 498, 520, 564]"
different city,4,3,7,"[97, 163, 235]"
social network,5,2,7,"[235, 388]"
classification model,4,2,6,"[18, 564]"
recent year,3,3,6,"[80, 97, 211]"
low accuracy,3,3,6,"[80, 84, 180]"
trip generation,5,1,6,[84]
decision making,4,2,6,"[88, 399]"
new city,5,1,6,[97]
mosquito control,5,1,6,[121]
mobile phone,4,2,6,"[156, 388]"
thermal comfort,5,1,6,[520]
public consultation,4,1,5,[75]
data analysis,3,2,5,"[75, 80]"
decision support,3,2,5,"[88, 498]"
od flow,4,1,5,[156]
urban soundscapes,3,2,5,"[157, 564]"
iot system,4,1,5,[332]
social medium,4,1,5,[498]
urban management,2,2,4,"[18, 288]"
smart data,3,1,4,[18]
large volume,2,2,4,"[18, 75]"
city development,2,2,4,"[61, 163]"
air quality,3,1,4,[61]
air pollution,3,1,4,[61]
physical feature,2,2,4,"[80, 157]"
feature extraction,2,2,4,"[80, 163]"
prediction performance,2,2,4,"[84, 97]"
experimental result,2,2,4,"[84, 97]"
intelligent decision,3,1,4,[88]
optimal store,3,1,4,[97]
store placement,3,1,4,[97]
flow prediction,3,1,4,[156]
base station,3,1,4,[156]
prediction task,2,2,4,"[156, 388]"
sonic experience,3,1,4,[157]
urban space,2,2,4,"[157, 211]"
learning algorithms,2,2,4,"[180, 388]"
high resolution,2,2,4,"[180, 503]"
evaluation method,2,2,4,"[277, 474]"
artificial intelligence,2,2,4,"[288, 399]"
neural network,2,2,4,"[288, 498]"
intrusion detection,3,1,4,[332]
intelligence augmentation,3,1,4,[399]
red unit,3,1,4,[399]
blue unit,3,1,4,[399]
large amount,2,2,4,"[399, 511]"
physical sensor,3,1,4,[498]
construction land,3,1,4,[509]
smart environment,2,1,3,[61]
environment design,2,1,3,[61]
design planning,2,1,3,[61]
different aspect,2,1,3,[61]
support system,2,1,3,[88]
data distribution,2,1,3,[97]
signal base,2,1,3,[156]
graph fusion,2,1,3,[156]
fusion module,2,1,3,[156]
data collection,2,1,3,[157]
collection method,2,1,3,[157]
similarity measurement,2,1,3,[163]
urban hotel,2,1,3,[163]
modern city,2,1,3,[163]
multiple feature,2,1,3,[180]
ground object,2,1,3,[180]
city service,2,1,3,[235]
urban context,2,1,3,[277]
previous study,2,1,3,[332]
false alarm,2,1,3,[332]
alarm rate,2,1,3,[332]
convolutional network,2,1,3,[388]
global poverty,2,1,3,[388]
deep reinforcement,2,1,3,[399]
reinforcement learning,2,1,3,[399]
ai system,2,1,3,[399]
analysis tool,2,1,3,[474]
public health,2,1,3,[498]
sensor data,2,1,3,[498]
next day,2,1,3,[498]
smog severity,2,1,3,[498]
industrial land,2,1,3,[509]
land recognition,2,1,3,[509]
recognition system,2,1,3,[509]
land planning,2,1,3,[509]
ground sensing,2,1,3,[511]
prediction result,2,1,3,[520]
urban soundscape,2,1,3,[564]
soundscape evaluation,2,1,3,[564]
soundscape classification,2,1,3,[564]
automatic classification,2,1,3,[564]
data processing,1,1,2,[18]
huge amount,1,1,2,[18]
different domain,1,1,2,[18]
spatial component,1,1,2,[18]
data characteristic,1,1,2,[18]
value aspect,1,1,2,[18]
relevant data,1,1,2,[18]
efficient automating,1,1,2,[18]
data analytics,1,1,2,[18]
paradigm focus,1,1,2,[18]
aspect value,1,1,2,[18]
useful information,1,1,2,[18]
intelligent processing,1,1,2,[18]
agent receive,1,1,2,[18]
receive data,1,1,2,[18]
real time,1,1,2,[18]
batch processing,1,1,2,[18]
habitat adequate,1,1,2,[18]
uncertainty analysis,1,1,2,[61]
current scenario,1,1,2,[61]
developed city,1,1,2,[61]
severe air,1,1,2,[61]
population growth,1,1,2,[61]
industrialization grow,1,1,2,[61]
government agency,1,1,2,[61]
various area,1,1,2,[61]
human environment,1,1,2,[61]
human advancement,1,1,2,[61]
conventional method,1,1,2,[61]
model generate,1,1,2,[61]
disappointing result,1,1,2,[61]
influence air,1,1,2,[61]
pollution measurement,1,1,2,[61]
thorough design,1,1,2,[61]
pollution quality,1,1,2,[61]
quality prediction,1,1,2,[61]
intrinsic component,1,1,2,[61]
finding indicate,1,1,2,[61]
classification accuracy,1,1,2,[61]
error rate,1,1,2,[61]
effective method,1,1,2,[61]
public data,1,1,2,[75]
affected party,1,1,2,[75]
shared idea,1,1,2,[75]
wider community,1,1,2,[75]
large quantity,1,1,2,[75]
text data,1,1,2,[75]
manual analysis,1,1,2,[75]
natural language,1,1,2,[75]
nlp toolkits,1,1,2,[75]
novel approach,1,1,2,[75]
grammatical structure,1,1,2,[75]
public texts,1,1,2,[75]
public option,1,1,2,[75]
adjective phrase,1,1,2,[75]
urban infrastructure,1,1,2,[75]
infrastructure category,1,1,2,[75]
hierarchy chart,1,1,2,[75]
word tree,1,1,2,[75]
tree view,1,1,2,[75]
consultation exercise,1,1,2,[75]
public participation,1,1,2,[75]
design value,1,1,2,[75]
associated quality,1,1,2,[75]
wide range,1,1,2,[75]
effective task,1,1,2,[80]
important key,1,1,2,[80]
key factor,1,1,2,[80]
conservative machine,1,1,2,[80]
health data,1,1,2,[80]
remote health,1,1,2,[80]
health monitoring,1,1,2,[80]
learning concept,1,1,2,[80]
cloud network,1,1,2,[80]
network architecture,1,1,2,[80]
health care,1,1,2,[80]
care data,1,1,2,[80]
iot sensor,1,1,2,[80]
sensor network,1,1,2,[80]
healthcare data,1,1,2,[80]
immediate relief,1,1,2,[80]
relief measure,1,1,2,[80]
critical condition,1,1,2,[80]
immediate consultancy,1,1,2,[80]
urban trip,1,1,2,[84]
transportation model,1,1,2,[84]
important role,1,1,2,[84]
first phase,1,1,2,[84]
global course,1,1,2,[84]
mathematical derivation,1,1,2,[84]
many predictor,1,1,2,[84]
input vector,1,1,2,[84]
decision tree,1,1,2,[84]
generation prediction,1,1,2,[84]
powerful machine,1,1,2,[84]
linear regression,1,1,2,[84]
regression method,1,1,2,[84]
feature selection,1,1,2,[84]
output variable,1,1,2,[84]
residential travel,1,1,2,[84]
travel census,1,1,2,[84]
beijing prove,1,1,2,[84]
gbdt model,1,1,2,[84]
using machine,1,1,2,[88]
urban issue,1,1,2,[88]
traditional decision,1,1,2,[88]
decision process,1,1,2,[88]
relevant assistance,1,1,2,[88]
urban planner,1,1,2,[88]
urban project,1,1,2,[88]
new technique,1,1,2,[88]
bayes classifier,1,1,2,[88]
agglomerative clustering,1,1,2,[88]
electronic form,1,1,2,[88]
knowledge transfer,1,1,2,[97]
optimal location,1,1,2,[97]
chain enterprise,1,1,2,[97]
data scarcity,1,1,2,[97]
existing model,1,1,2,[97]
model tend,1,1,2,[97]
superior performance,1,1,2,[97]
training sample,1,1,2,[97]
distribution discrepancy,1,1,2,[97]
insufficient data,1,1,2,[97]
prior knowledge,1,1,2,[97]
prior initialization,1,1,2,[97]
multiple city,1,1,2,[97]
multimodal data,1,1,2,[97]
effective learning,1,1,2,[97]
learning strategy,1,1,2,[97]
training batch,1,1,2,[97]
noisy data,1,1,2,[97]
practical application,1,1,2,[97]
result demonstrate,1,1,2,[97]
various baseline,1,1,2,[97]
classification task,1,1,2,[121]
various aspect,1,1,2,[121]
literature review,1,1,2,[121]
paper relevant,1,1,2,[121]
current state,1,1,2,[121]
urban setting,1,1,2,[121]
reviewed work,1,1,2,[121]
different methodology,1,1,2,[121]
evaluation criterion,1,1,2,[121]
environmental contexts,1,1,2,[121]
audio category,1,1,2,[121]
ml method,1,1,2,[121]
citizen science,1,1,2,[121]
science data,1,1,2,[121]
ml pipeline,1,1,2,[121]
reproducible result,1,1,2,[121]
ml technique,1,1,2,[121]
effective mosquito,1,1,2,[121]
great significance,1,1,2,[156]
urban safety,1,1,2,[156]
safety control,1,1,2,[156]
stampede prevention,1,1,2,[156]
transmission control,1,1,2,[156]
use vehicle,1,1,2,[156]
gps trajectory,1,1,2,[156]
learning model,1,1,2,[156]
human mobility,1,1,2,[156]
mobility pattern,1,1,2,[156]
actual human,1,1,2,[156]
od transfer,1,1,2,[156]
transfer pattern,1,1,2,[156]
citywide scale,1,1,2,[156]
different datasets,1,1,2,[156]
phone signal,1,1,2,[156]
signal data,1,1,2,[156]
geographical space,1,1,2,[156]
phone user,1,1,2,[156]
location information,1,1,2,[156]
flow data,1,1,2,[156]
natural topology,1,1,2,[156]
topology structure,1,1,2,[156]
tgcn model,1,1,2,[156]
dynamic population,1,1,2,[156]
population distribution,1,1,2,[156]
distribution prediction,1,1,2,[156]
semantic information,1,1,2,[156]
hybrid machine,1,1,2,[156]
extensive experiment,1,1,2,[156]
signal datasets,1,1,2,[156]
personal response,1,1,2,[157]
communal style,1,1,2,[157]
standardized method,1,1,2,[157]
reliable data,1,1,2,[157]
building industry,1,1,2,[157]
data pertaining,1,1,2,[157]
city soundscapes,1,1,2,[157]
acoustic model,1,1,2,[157]
physical measurement,1,1,2,[157]
participatory approach,1,1,2,[157]
measurable value,1,1,2,[157]
planning process,1,1,2,[157]
experiential data,1,1,2,[157]
city similarity,1,1,2,[163]
multiple type,1,1,2,[163]
wide distribution,1,1,2,[163]
planning issue,1,1,2,[163]
data scale,1,1,2,[163]
fitting degree,1,1,2,[163]
single city,1,1,2,[163]
transfer learning,1,1,2,[163]
prediction model,1,1,2,[163]
hotel development,1,1,2,[163]
development scale,1,1,2,[163]
city data,1,1,2,[163]
location data,1,1,2,[163]
related information,1,1,2,[163]
relevant knowledge,1,1,2,[163]
city feature,1,1,2,[163]
measurement framework,1,1,2,[163]
virtual design,1,1,2,[180]
design model,1,1,2,[180]
data technology,1,1,2,[180]
single feature,1,1,2,[180]
detailed information,1,1,2,[180]
poor classification,1,1,2,[180]
classification result,1,1,2,[180]
feature information,1,1,2,[180]
elm method,1,1,2,[180]
sar ground,1,1,2,[180]
object classification,1,1,2,[180]
extreme learning,1,1,2,[180]
learning machine,1,1,2,[180]
machine classification,1,1,2,[180]
classification algorithm,1,1,2,[180]
good classification,1,1,2,[180]
classification effect,1,1,2,[180]
detection accuracy,1,1,2,[180]
planning score,1,1,2,[180]
research result,1,1,2,[180]
result show,1,1,2,[180]
expected goal,1,1,2,[180]
urban growth,1,1,2,[211]
covid pandemic,1,1,2,[211]
possible solution,1,1,2,[211]
exhaustive study,1,1,2,[211]
ml model,1,1,2,[211]
main objective,1,1,2,[211]
inclusive perspective,1,1,2,[211]
sustainability scope,1,1,2,[211]
data type,1,1,2,[211]
andalusian city,1,1,2,[211]
network message,1,1,2,[235]
private service,1,1,2,[235]
rapid urbanization,1,1,2,[235]
different model,1,1,2,[235]
sustainable city,1,1,2,[235]
network profile,1,1,2,[235]
governmental entity,1,1,2,[235]
cultural event,1,1,2,[235]
present paper,1,1,2,[235]
citizen message,1,1,2,[235]
service dimension,1,1,2,[235]
text datasets,1,1,2,[235]
initial result,1,1,2,[235]
iso category,1,1,2,[235]
governmental support,1,1,2,[235]
support decision,1,1,2,[235]
decision system,1,1,2,[235]
customer complain,1,1,2,[235]
complain system,1,1,2,[235]
community dashboard,1,1,2,[235]
police office,1,1,2,[235]
cultural producer,1,1,2,[235]
environmental agency,1,1,2,[235]
environment perception,1,1,2,[277]
learning method,1,1,2,[277]
social survey,1,1,2,[277]
open source,1,1,2,[277]
complex system,1,1,2,[277]
social feature,1,1,2,[277]
citizen habitat,1,1,2,[277]
citizen depends,1,1,2,[277]
studied group,1,1,2,[277]
basic element,1,1,2,[288]
combinatory trend,1,1,2,[288]
complex situation,1,1,2,[288]
hidden relationship,1,1,2,[288]
human alone,1,1,2,[288]
new method,1,1,2,[288]
use data,1,1,2,[288]
target plot,1,1,2,[288]
specific case,1,1,2,[288]
combinatory land,1,1,2,[288]
use index,1,1,2,[288]
industrial revolution,1,1,2,[332]
health manufacturing,1,1,2,[332]
data integrity,1,1,2,[332]
service stability,1,1,2,[332]
suspicious activity,1,1,2,[332]
iot service,1,1,2,[332]
ensemble learning,1,1,2,[332]
learning approach,1,1,2,[332]
synthetic minority,1,1,2,[332]
normal intrusion,1,1,2,[332]
evaluation result,1,1,2,[332]
detection rate,1,1,2,[332]
detection method,1,1,2,[332]
processing time,1,1,2,[332]
time performance,1,1,2,[332]
satisfying result,1,1,2,[332]
rapid expansion,1,1,2,[388]
phone network,1,1,2,[388]
graph machine,1,1,2,[388]
sudden relevance,1,1,2,[388]
recent application,1,1,2,[388]
application range,1,1,2,[388]
humanitarian response,1,1,2,[388]
poverty estimation,1,1,2,[388]
epidemic containment,1,1,2,[388]
vast majority,1,1,2,[388]
computational tool,1,1,2,[388]
myriad way,1,1,2,[388]
model treat,1,1,2,[388]
treat relation,1,1,2,[388]
different prediction,1,1,2,[388]
phone datasets,1,1,2,[388]
poverty research,1,1,2,[388]
node labelling,1,1,2,[388]
citation network,1,1,2,[388]
urban warfare,1,1,2,[399]
warfare operation,1,1,2,[399]
military operation,1,1,2,[399]
intelligence technique,1,1,2,[399]
various form,1,1,2,[399]
making process,1,1,2,[399]
warfare model,1,1,2,[399]
explosive device,1,1,2,[399]
evolutionary algorithm,1,1,2,[399]
historical data,1,1,2,[399]
different approach,1,1,2,[399]
optimal behaviour,1,1,2,[399]
likely position,1,1,2,[399]
possible course,1,1,2,[399]
personal use,1,1,2,[399]
urban layout,1,1,2,[474]
design proposal,1,1,2,[474]
online platform,1,1,2,[474]
preferred layout,1,1,2,[474]
study area,1,1,2,[474]
plot configuration,1,1,2,[474]
tool range,1,1,2,[474]
simple counting,1,1,2,[474]
object type,1,1,2,[474]
buffer analysis,1,1,2,[474]
spatial autocorrelation,1,1,2,[474]
autocorrelation tool,1,1,2,[474]
supervised machine,1,1,2,[474]
spatial test,1,1,2,[474]
simple calculation,1,1,2,[474]
area size,1,1,2,[474]
smog disaster,1,1,2,[498]
severe consequence,1,1,2,[498]
data source,1,1,2,[498]
effective channel,1,1,2,[498]
health disaster,1,1,2,[498]
early stage,1,1,2,[498]
analytic approach,1,1,2,[498]
raw microblogging,1,1,2,[498]
microblogging text,1,1,2,[498]
network information,1,1,2,[498]
information diffusion,1,1,2,[498]
diffusion data,1,1,2,[498]
current health,1,1,2,[498]
severity observation,1,1,2,[498]
alternative machine,1,1,2,[498]
hazard forecasting,1,1,2,[498]
empirical finding,1,1,2,[498]
current smog,1,1,2,[498]
smog observation,1,1,2,[498]
day health,1,1,2,[498]
forecasting approach,1,1,2,[498]
hazard management,1,1,2,[498]
early warning,1,1,2,[498]
data aggregation,1,1,2,[503]
data exploration,1,1,2,[503]
intuitive way,1,1,2,[503]
graphical problem,1,1,2,[503]
visual clutter,1,1,2,[503]
spatiotemporal data,1,1,2,[503]
preprocessing tool,1,1,2,[503]
automatic creation,1,1,2,[503]
resolution grid,1,1,2,[503]
vector tile,1,1,2,[503]
massive itinerary,1,1,2,[503]
itinerary request,1,1,2,[503]
request dataset,1,1,2,[503]
france region,1,1,2,[503]
salient point,1,1,2,[509]
significant impact,1,1,2,[509]
commercial land,1,1,2,[509]
positive impact,1,1,2,[509]
residential land,1,1,2,[509]
mining land,1,1,2,[509]
common sense,1,1,2,[509]
actual construction,1,1,2,[509]
endogenous optimization,1,1,2,[509]
optimization method,1,1,2,[509]
input factor,1,1,2,[509]
correlation requirement,1,1,2,[509]
functional form,1,1,2,[509]
planning model,1,1,2,[509]
general requirement,1,1,2,[509]
thematic analytics,1,1,2,[511]
analytics framework,1,1,2,[511]
urban ground,1,1,2,[511]
various stakeholder,1,1,2,[511]
rich information,1,1,2,[511]
textual form,1,1,2,[511]
learning capability,1,1,2,[511]
textual feedback,1,1,2,[511]
feedback data,1,1,2,[511]
feedback analysis,1,1,2,[511]
analysis framework,1,1,2,[511]
essential method,1,1,2,[511]
topic modeling,1,1,2,[511]
trend analysis,1,1,2,[511]
experiment indicate,1,1,2,[511]
geospatial information,1,1,2,[511]
semantic theme,1,1,2,[511]
probabilistic topic,1,1,2,[511]
temporal trend,1,1,2,[511]
detected topic,1,1,2,[511]
domain expert,1,1,2,[511]
routine work,1,1,2,[511]
thermal sensation,1,1,2,[520]
sensation prediction,1,1,2,[520]
environmental point,1,1,2,[520]
climatic parameter,1,1,2,[520]
comfort prediction,1,1,2,[520]
input variable,1,1,2,[520]
nonlinear task,1,1,2,[520]
main goal,1,1,2,[520]
equivalent temperature,1,1,2,[520]
benchmark model,1,1,2,[520]
appropriate soundscape,1,1,2,[564]
soundscape management,1,1,2,[564]
essential step,1,1,2,[564]
sound standpoint,1,1,2,[564]
acoustical categorization,1,1,2,[564]
first step,1,1,2,[564]
perceptual criterion,1,1,2,[564]
great complexity,1,1,2,[564]
model classification,1,1,2,[564]
smo model,1,1,2,[564]
svm model,1,1,2,[564]
specific task,1,1,2,[564]
smo algorithm,1,1,2,[564]
outstanding performance,1,1,2,[564]
