NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3
4,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-7.7888867243213,"['event', 'festival', 'study', 'tourism', 'development', 'policy', 'people', 'city', 'literature', 'book']","['city', 'people', 'planning', 'place', 'culture', 'politics', 'history', 'coordination', 'urban planning', 'policy']","['youth', 'people', 'culture', 'group', 'identity', 'mobility', 'use', 'discussion', 'drug', 'young people']","['year', 'people', 'fever', 'beauty', 'culture', 'child', 'TV', 'aborigine', 'typhoid fever', 'age']"
4,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-4.1693896684705125,"['city', 'culture', 'people', 'space', 'place', 'identity', 'planning', 'study', 'project', 'way']","['nationalism', 'city', 'tourism', 'people', 'area', 'community', 'culture', 'identity', 'movement', 'capital']","['city', 'downtown', 'people', 'space', 'process', 'culture', 'place', 'practice', 'development', 'research']","['community', 'art', 'study', 'hop', 'hip hop', 'hip', 'work', 'people', 'diversity', 'culture']"
4,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-4.851110457654037,"['city', 'architecture', 'culture', 'space', 'transformation', 'urban planning', 'people', 'planning', 'history', 'area']","['city', 'identity', 'culture', 'factor', 'building', 'space', 'people', 'form', 'place', 'design']","['people', 'development', 'care', 'community', 'older people', 'society', 'study', 'medical care', 'life', 'culture']","['city', 'street', 'area', 'image', 'identity', 'study', 'value', 'island', 'satellite image', 'stone']"
4,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-4.888556154769155,"['city', 'relationship', 'capital city', 'capital', 'ancient city', 'excavation', 'dynasty', 'Shang dynasty', 'environment', 'area']","['evaluation', 'development', 'city', 'research', 'quality', 'environment', 'planning', 'residential environment', 'index', 'activity']","['city', 'environment', 'culture', 'protection', 'development', 'paper', 'people', 'traffic', 'axis', 'space']","['city', 'design', 'space', 'area', 'people', 'blight', 'culture', 'urban blight', 'rural area', 'development']"
4,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-4.0735528226478985,"['city', 'planning', 'culture', 'process', 'art', 'approach', 'place', 'activity', 'people', 'development']","['place', 'culture', 'regeneration', 'experience', 'product', 'development', 'role', 'city', 'paper', 'quality']","['art', 'community', 'development', 'economic development', 'culture', 'research', 'cluster', 'people', 'sector', 'participation']","['culture', 'city', 'art', 'economy', 'creativity', 'placemaking', 'innovation', 'development', 'transition', 'hub']"
4,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-3.642552307883978,"['market', 'labour market', 'country', 'system', 'labour', 'time', 'image', 'article', 'form', 'policy']","['city', 'town', 'building', 'culture', 'identity', 'church', 'people', 'development', 'place', 'small town']","['culture', 'music', 'building', 'study', 'city', 'space', 'place', 'article', 'theatre', 'people']","['city', 'empire', 'culture', 'space', 'people', 'religion', 'process', 'area', 'example', 'resident']"
4,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-3.3171524100338585,"['culture', 'urban planning', 'planning', 'informality', 'development', 'research', 'influence', 'understanding', 'relationship', 'context']","['city', 'Indian city', 'space', 'governance', 'policy', 'economic liberalisation', 'development policy', 'growth', 'liberalisation', 'development']","['city', 'planning', 'elasticity', 'analysis', 'policy', 'challenge', 'hence', 'contestation', 'urban conglomeration', 'conglomeration']","['model', 'study', 'survey', 'space', 'urban planning model', 'planning model', 'city', 'people', 'urban space', 'research']"
4,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-3.032048150517214,"['city', 'design', 'space', 'people', 'life', 'area', 'study', 'process', 'planning', 'art']","['space', 'people', 'design', 'city', 'climate', 'role', 'environment', 'culture', 'public space', 'open space']","['architecture', 'space', 'technology', 'change', 'culture', 'development', 'people', 'building', 'art', 'public art']","['study', 'design', 'research', 'building', 'concrete', 'property', 'bathroom', 'space', 'system', 'region']"
4,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-4.222273156219308,"['space', 'city', 'public space', 'life', 'paper', 'design', 'user', 'need', 'study', 'interaction']","['city', 'transport', 'smart city', 'model', 'service', 'culture', 'implementation', 'development', 'level', 'factor']","['city', 'environment', 'vehicle', 'development', 'study', 'culture', 'transportation', 'place', 'mobility', 'density']","['neighborhood', 'design', 'concept', 'rail', 'place', 'environment', 'space', 'capital', 'neighborhood design', 'social capital']"
4,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.29158714913151,"['space', 'green space', 'dimension', 'people', 'sensory dimension', 'perception', 'study', 'urban green space', 'landscape', 'planning']","['space', 'square', 'open space', 'landscape', 'interaction', 'context', 'public open space', 'study', 'public space', 'social interaction']","['landscape', 'people', 'nature', 'type', 'paper', 'symbol', 'culture', 'relationship', 'image', 'method']","['tree', 'community', 'environment', 'resident', 'nature', 'role', 'design', 'contact', 'wall', 'group']"
4,9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-4.05149384315868,"['noise', 'traffic', 'road traffic', 'road', 'difference', 'response', 'traffic noise', 'road traffic noise', 'house', 'activity']","['environment', 'design', 'soundscape', 'system', 'sound', 'people', 'method', 'acoustic environment', 'built environment', 'aspect']","['city', 'space', 'people', 'place', 'research', 'comfort', 'environment', 'noise', 'effect', 'diversity']","['location', 'problem', 'activity', 'city', 'sound', 'interview', 'isolating people', 'human civilization', 'control city', 'control sound']"
4,10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-6.233131845825996,"['risk', 'culture', 'research', 'community', 'people', 'perception', 'place', 'study', 'amplification', 'environmental hazard']","['people', 'culture', 'place', 'practice', 'life', 'region', 'community', 'indigenous people', 'economy', 'city']","['planning', 'culture', 'right', 'risk', 'value', 'landscape', 'property', 'development', 'property right', 'tradition']","['design', 'people', 'city', 'culture', 'article', 'area', 'study', 'death', 'good death', 'Indigenous people']"
4,11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-4.691519017814162,"['city', 'space', 'identity', 'people', 'urban space', 'place', 'time', 'event', 'activity', 'town']","['settlement', 'space', 'city', 'paper', 'flood', 'rehabilitation', 'heritage', 'approach', 'life', 'environment']","['urban sprawl', 'sprawl', 'study', 'people', 'urbanization', 'development', 'area', 'urbanism', 'core', 'building']","['citizenship', 'nomad', 'concept', 'government', 'culture', 'research', 'citizenship education', 'education', 'citizen', 'country']"
4,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-5.113882665113539,"['adaptation', 'community', 'strategy', 'settlement', 'slum', 'change', 'level', 'resident', 'risk', 'place']","['place', 'strategy', 'design', 'value', 'change', 'service', 'research', 'planning', 'level', 'urbanization']","['water', 'development', 'housing', 'people', 'area', 'paper', 'influence', 'plan', 'society', 'form']","['development', 'governance', 'urban development', 'form', 'planning', 'paper', 'urban form', 'slum', 'city', 'architecture']"
4,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-3.372034032848845,"['child', 'planning', 'urban planning', 'game', 'environment', 'tool', 'actor', 'potential', 'people', 'experiment']","['culture', 'food', 'design', 'environment', 'people', 'framework', 'technology', 'paper', 'participation', 'food culture']","['planning', 'process', 'planning process', 'information', 'technology', 'role', 'use', 'population', 'community', 'city']","['design', 'community', 'creativity', 'studio', 'diversity', 'paper', 'activity', 'student', 'culture', 'technology']"
4,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-6.719847792355367,"['park', 'city', 'heritage', 'national park', 'conservation', 'environment', 'volume', 'naturbanity', 'planning', 'value']","['architecture', 'material', 'construction', 'specie', 'research', 'study', 'building', 'people', 'totora', 'city']","['place', 'planning', 'crisis', 'culture', 'people', 'astronomy', 'spatial planning', 'calendar', 'region', 'nature']","['architecture', 'landscape', 'example', 'engineering', 'area', 'bridge', 'history', 'condition', 'center', 'tourism']"
4,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-2.4985476289012634,"['city', 'transformation', 'article', 'tourist', 'urban transformation', 'culture', 'people', 'class', 'urban planning', 'consumer']","['indicator', 'article', 'planning', 'city', 'region', 'people', 'development', 'culture', 'work', 'governance']","['century', 'form', 'development', 'colonialism', 'term', 'idea', 'region', 'architecture', 'representation', 'history']","['history', 'design', 'infrastructure', 'architecture', 'life', 'article', 'city', 'field', 'concept', 'activity']"
4,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-5.859433959697582,"['city', 'community', 'sustainability', 'race', 'policy', 'development', 'segregation', 'planning', 'interaction', 'practice']","['space', 'public space', 'regulation', 'gentrification', 'neighborhood', 'role', 'people', 'behavior', 'visibility', 'chapter']","['space', 'study', 'inequality', 'research', 'street', 'effort', 'form', 'divide', 'strategy', 'digital divide']","['community', 'Latino community', 'culture', 'challenge', 'literature', 'people', 'planning', 'bicycling', 'advocacy', 'bicyclist']"
4,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-4.656435782624766,"['culture', 'project', 'Chapter', 'design', 'people', 'destination', 'city', 'center', 'perspective', 'strategy']","['environment', 'interaction', 'level', 'student', 'Chinese student', 'research', 'people', 'urban environment', 'culture', 'group']","['city', 'life', 'beach', 'people', 'culture', 'book', 'overview', 'day', 'development', 'urban life']","['city', 'knowledge', 'space', 'environment', 'article', 'urbanity', 'indigenous knowledge', 'culture', 'community', 'people']"
4,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-3.867262817059586,"['book', 'city', 'architecture', 'development', 'work', 'government', 'environment', 'year', 'technology', 'program']","['planning', 'urban planning', 'development', 'Urban planning', 'influence', 'economic development', 'information', 'force', 'culture', 'market force']","['city', 'class', 'development', 'middle class', 'study', 'history', 'life', 'people', 'place', 'politics']","['city', 'Chinese city', 'transformation', 'state', 'urban transformation', 'paper', 'economy', 'control', 'project', 'form']"
4,19,5,0.013,"[148, 258, 332, 372, 381]",-1.7512766985961998,"['business', 'small business', 'development', 'Small business', 'role', 'quality', 'interaction', 'relationship', 'engagement', 'economic development']","['understanding', 'agency', 'effort', 'element', 'exhibition', 'digital archive', 'concern', 'colonist', 'content', 'aboriginal issue']","['culture', 'network', 'event', 'commitment', 'city', 'year', 'planning', 'building', 'hegemony', 'support']","['city', 'culture', 'people', 'mobility', 'place', 'model', 'time', 'history', 'area', 'space']"
4,20,5,0.013,"[111, 263, 316, 335, 357]",-2.1655203502947296,"['waste', 'property', 'effect', 'method', 'analysis', 'removal', 'system', 'water', 'performance', 'plastic waste']","['design', 'life', 'built environment', 'organization', 'urban planning', 'environment', 'people', 'culture', 'land', 'space']","['environment', 'development', 'built environment', 'community', 'village', 'concept', 'study', 'research', 'space', 'floating village']","['reconstruction', 'government', 'measure', 'city', 'area', 'building', 'zone', 'sustainability', 'architecture', 'design']"
4,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-3.4058128795533276,"['city', 'planning', 'map', 'creativity', 'approach', 'method', 'modern city', 'theory', 'city planning', 'process']","['city', 'design', 'concept', 'culture', 'space', 'square design', 'heritage', 'cultural context', 'square', 'context']","['design', 'strategy', 'area', 'space', 'people', 'study', 'regeneration', 'form', 'public space', 'urban planning']","['approach', 'globalization', 'people', 'method', 'complexity', 'problem', 'life', 'environment', 'project', 'peripheral area']"
4,22,5,0.013,"[16, 204, 227, 274, 333]",-2.681763953072945,"['livability', 'urban livability', 'measure', 'sense', 'paper', 'place', 'urban livability measure', 'principle', 'placemaking principle', 'livability measure']","['level', 'comfort', 'energy', 'relationship', 'dorm', 'building', 'people', 'analysis', 'context', 'student']","['city', 'development', 'application', 'system', 'smart city', 'community', 'process', 'service', 'city application', 'role']","['study', 'limit', 'winter', 'summer', 'comfort', 'environment', 'attribute', 'upper limit', 'index', 'thermal comfort']"
4,23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",-4.331513503554526,"['education', 'student', 'government', 'language', 'aboriginal education', 'system', 'resource', 'success', 'effort', 'wisdom']","['place', 'knowledge', 'book', 'creative knowledge', 'mobility', 'place attachment', 'attachment', 'worker', 'market', 'form']","['landscape', 'state', 'people', 'culture', 'community', 'meaning', 'para', 'way', 'housing', 'resident']","['visitor', 'place', 'site', 'expectation', 'experience', 'interpretation', 'comment', 'site interpretation', 'centre', 'third place']"
4,24,7,0.018,"[23, 64, 107, 116, 198, 233, 251]",-4.9399750904998365,"['indicator', 'strategy', 'sustainability', 'city', 'study', 'urban sustainability', 'aspect', 'development', 'service', 'order']","['problem', 'city', 'analysis', 'planning', 'environment', 'impact', 'city system', 'system', 'cause', 'source']","['country', 'change', 'people', 'challenge', 'climate', 'governance', 'climate change', 'growth', 'population', 'developing country']","['city', 'transition', 'capacity', 'electrical capacity', 'system', 'world', 'culture', 'opportunity', 'company', 'consumption']"
4,25,5,0.013,"[21, 31, 44, 72, 216]",-2.2479834438108695,"['paper', 'city', 'landscape', 'waterfront', 'development', 'influence', 'capital', 'case', 'visitor', 'interaction']","['city', 'way', 'landscape', 'waterfront', 'transformation', 'reclamation', 'redevelopment', 'study', 'case study', 'degree']","['waterfront', 'people', 'activity', 'life', 'redevelopment', 'living', 'culture', 'history', 'place', 'plan']","['value', 'ocean', 'city', 'mangrove', 'development', 'sea', 'energy', 'extraction', 'ecosystem', 'transition']"
4,26,5,0.013,"[52, 117, 163, 212, 254]",-1.8743707892460058,"['history', 'symbol', 'meaning', 'new light', 'motivation', 'others', 'origin', 'price', 'national symbol', 'local people']","['history', 'symbol', 'meaning', 'new light', 'motivation', 'others', 'origin', 'price', 'national symbol', 'local people']","['city', 'planning', 'vision', 'world', 'future', 'fair', 'time', 'idea', 'planner', 'model']","['city', 'people', 'icon', 'regulation', 'conversation', 'modernity', 'history', 'growth', 'boundary', 'description']"
4,27,7,0.018,"[19, 28, 34, 50, 67, 147, 231]",-5.071780377036757,"['urbanity', 'context', 'paper', 'planner', 'emphasis', 'city', 'towards', 'culture', 'country people', 'concept']","['design', 'city', 'space', 'planning', 'people', 'city planning', 'competition', 'idea', 'youth', 'child']","['design', 'city', 'architecture', 'landscape', 'environment', 'article', 'people', 'society', 'fashion', 'contemporary city']","['citizen', 'method', 'towards', 'people', 'culture', 'concern', 'city', 'meeting', 'matter', 'human value']"
4,28,8,0.02,"[36, 65, 80, 85, 130, 162, 197, 202]",-3.580016825588304,"['community', 'trust', 'risk', 'condition', 'relationship', 'trust relationship', 'people', 'resident', 'city', 'world']","['mobility', 'immobility', 'risk', 'culture', 'society', 'life', 'risk society', 'crisis', 'activity', 'virus']","['city', 'standard', 'planning', 'residential standard', 'water', 'process', 'system', 'problem', 'people', 'approach']","['city', 'sustainability', 'indicator', 'building', 'vision', 'development', 'plan', 'construction', 'efficiency', 'perspective']"
